position_id,party_id,statement_id,position_label,position_numeric,source_type,text_snippet,source_link
IEP0048,SD,12,Tend to agree,1,Latest national election manifesto of the party,We will investigate the introduction of a mandatory gender quota of 30% on the executive boards of all large companies registered in Ireland.,https://www.socialdemocrats.ie/wp-content/uploads/2023/11/Invest-in-Better-GE2020-1st-Feb.pdf
IEP0049,SD,13,Tend to agree,1,Other programmatic and official party documentation,"While we support the principle of a carbon tax, it must be designed to incentivise people to change their behaviour towards the environment and it must be fair.",https://www.socialdemocrats.ie/wp-content/uploads/2023/11/Greener-and-Fairer.pdf
IEP0050,SD,14,Tend to agree,1,Other programmatic and official party documentation,"Phasing out fossil fuels and meeting our clean energy targets as set out in the Paris Agreement, with investment in hydro, wind, solar and biogas.",https://www.socialdemocrats.ie/wp-content/uploads/2023/11/Greener-and-Fairer.pdf
IEP0051,SD,15,Completely agree,2,"Recent interviews, press releases and social media communication (from party, party leader and/or leading candidates)","We know the default position for the State is to provide the bare minimum. This is the type of mindset that creates barriers to deter people. It is part of an antiquated and worrying understanding of the realities of migration and asylum. “The Government needs to address the impacts of this draconian, callous system while direct provision is being dismantled.”",https://www.socialdemocrats.ie/families-will-be-left-in-limbo-for-years-before-direct-provision-ends/
IEP0052,SD,16,Neutral,0,Other (please specify),DAIL DEBATE - There have to be consequences. It is essential that the Government does not make empty promises with respect to resources and that those responsible are brought to justice,https://www.oireachtas.ie/en/debates/debate/dail/2024-02-27/13/?highlight%5B0%5D=criminal&highlight%5B1%5D=criminal&highlight%5B2%5D=criminal&highlight%5B3%5D=punishments&highlight%5B4%5D=criminal&highlight%5B5%5D=criminal
IEP0053,SD,17,Completely disagree,-2,"Recent interviews, press releases and social media communication (from party, party leader and/or leading candidates)","Asking questions of the Taoiseach during today’s Dáil sitting, Deputy Murphy asked what the Irish government’s approach to the Spanish proposal for a recovery fund underpinned by perpetual bonds was – a proposal which she said could help avoid member states being burdened with further debt",https://www.socialdemocrats.ie/future-of-eurozone-under-threat-if-debt-burden-foisted-on-member-states/
IEP0054,SD,18,No opinion,,,,
IEP0055,SD,19,Tend to agree,1,"Recent interviews, press releases and social media communication (from party, party leader and/or leading candidates)",“Partnering with the big technology companies to implement a digital apprenticeship scheme would be game changing for Ireland’s economic prospects. It also offers a second chance at a fulfilling career to those that feel condemned to the fringes of economic life in a fast-changing world.”,https://www.socialdemocrats.ie/digital-apprenticeships-could-be-powerful-driver-of-inclusive-prosperity/
IEP0056,SD,20,No opinion,,,,
IEP0057,SD,21,Tend to agree,1,"Recent interviews, press releases and social media communication (from party, party leader and/or leading candidates)",“We must all agree that a huge stimulus programme throughout the EU is required but one which does not involve member states taking on additional debt,https://www.socialdemocrats.ie/future-of-eurozone-under-threat-if-debt-burden-foisted-on-member-states/
IEP0058,SD,22,Tend to disagree,-1,"Recent interviews, press releases and social media communication (from party, party leader and/or leading candidates)","We urgently need a comprehensive strategy, involving all stakeholders, in particular rural communities, to develop a common vision of where the farming sector needs to move to over the next decade, and to agree how supports are structured so that the burden of necessary changes don’t fall unfairly on some sectors.",https://www.socialdemocrats.ie/reduction-in-cap-funding-a-real-concern-for-farmers/
IEP0059,SD,23,No opinion,,,,
IEP0060,SD,24,No opinion,,,,
IEP0061,SD,25,Tend to disagree,-1,Other programmatic and official party documentation,"Organisations such as The OSCE and Council of Europe help spread and secure values such as democracy, peace and security for all. Through Ireland’s membership, universal human rights have been developed, spread across member states and beyond. The Social Democrats see value in Ireland’s continued membership. however, irish aupport irish neutraility re military policy",https://www.socialdemocrats.ie/wp-content/uploads/2024/02/Foreign-Affairs.pdf
IEP0062,SD,26,No opinion,,,,
IEP0063,SD,27,Tend to agree,1,Other programmatic and official party documentation,"Plan, fund and deliver ambitious nation-wide public transport programmes, including high capacity green transport",https://www.socialdemocrats.ie/wp-content/uploads/2023/11/Greener-and-Fairer.pdf
IEP0064,SD,28,Tend to disagree,-1,Other programmatic and official party documentation,The Social Democrats unreservedly condemn the illegal invasion of Ukraine by the Russian Federation and are committed to: [...] Supporting the supply of non-lethal aid to Ukraine and providing humanitarian assistance to its citizens relocated to Ireland.,https://www.socialdemocrats.ie/wp-content/uploads/2024/02/Foreign-Affairs.pdf
IEP0065,SD,29,Tend to agree,1,,source - policy direcrtor of party,
IEP0066,SD,30,Neutral,0,,source - policy direcrtor of party,
IEP0067,SD,31,No opinion,,,,
IEP0068,SD,32,Tend to agree,1,,source - policy direcrtor of party,
IEP0069,SD,33,Tend to agree,1,"Recent interviews, press releases and social media communication (from party, party leader and/or leading candidates)","Working within the EU framework to promote fundamental human rights, democratic values and institutions and the rule of law. “The deal to link the new EU budget to respect for the rule of law is very welcome. The Irish Government must be a vocal champion for this deal",https://www.socialdemocrats.ie/cian-ocallaghan-td-welcomes-historic-eu-rule-of-law-deal/
IEP0070,SD,34,Tend to agree,1,Other programmatic and official party documentation,"Seek the recognition of a Palestinian state, and promote efforts to achieve a two-state solution on the basis of 1967 borders. We believe the two-state solution offers the only prospect of an enduring peace.",https://www.socialdemocrats.ie/wp-content/uploads/2024/02/Foreign-Affairs.pdf
IEP0071,SD,35,Tend to agree,1,"Recent interviews, press releases and social media communication (from party, party leader and/or leading candidates)",Soc Dems want 'low Covid' approach to avoid lockdowns,https://www.rte.ie/news/politics/2021/0227/1199764-social-democrats-covid/
IEP0072,SD,36,Tend to agree,1,Other programmatic and official party documentation,"Crucially, neutrality means being able to defend and monitor one’s own territory. A major rethink in defence and security policy, along with increased investment in the Defence Forces to allow it to do its job, is necessary.",https://www.socialdemocrats.ie/our-policies/foreign-affairs/
IEP0073,IF,1,Tend to agree,1,Other programmatic and official party documentation,"We believe that no Irish citizen should be homeless in Ireland, factoring in that some homeless may have substance abuse or mental health issues. We believe that safe accommodation should be available to every Irish citizen. Homelessness can take many forms and includes, but is not limited to, those on the streets not ‘classed’ as homeless officially, those ‘couch-surfing’ and those in temporary accommodation.",https://ireland-first.ie/our-policies/
IEP0074,IF,2,Tend to agree,1,Other programmatic and official party documentation,"Self-placement: Short term, there should absolutely be a safeyty net, with options to retrain",
IEP0075,IF,3,No opinion,,,,
IEP0076,IF,4,No opinion,,,,
IEP0077,IF,5,No opinion,,,,
IEP0078,IF,6,Tend to agree,1,Other programmatic and official party documentation,"At Ireland First, we are committed to tackling homelessness. It is our belief that no Irish citizen should be without a home. Recognising the challenges some homeless individuals face, such as substance abuse or mental health issues, we advocate for the provision of safe accommodation by the state, coupled with the necessary assistance to help them rebuild their lives.",https://ireland-first.ie/principles/
IEP0079,IF,7,No opinion,,,,
IEP0080,IF,8,No opinion,,,,
IEP0081,IF,9,Completely agree,2,Other programmatic and official party documentation,We also advocate for legislation that requires immigrants to respect our customs and laws.,https://ireland-first.ie/principles/
